elapsed,label,threadName,bytes,sentBytes,grpThreads
601,HTTP Request Large 13MB,Thread Group 5 5-10,13631755,122,20
4,HTTP Request Little 2KB,Thread Group 5 5-16,2308,122,20
91,HTTP Request Medium 1MB,Thread Group 5 5-1,1048842,122,20
524,HTTP Request Large 16MB,Thread Group 5 5-2,16777484,122,20
370,HTTP Request Large 13MB,Thread Group 5 5-18,13631755,122,20
6,HTTP Request Little 2KB,Thread Group 5 5-11,2308,122,20
263,HTTP Request Large 10MB,Thread Group 5 5-12,10486027,122,20
89,HTTP Request Medium 2MB,Thread Group 5 5-10,2097418,122,20
8,HTTP Request Little 2KB,Thread Group 5 5-14,2308,122,20
237,HTTP Request Large 13MB,Thread Group 5 5-13,13631755,122,20
6,HTTP Request Little 2KB,Thread Group 5 5-2,2308,122,20
553,HTTP Request Large 20MB,Thread Group 5 5-3,20971788,122,20
17,HTTP Request Medium 1MB,Thread Group 5 5-20,1048842,122,20
2,HTTP Request Little 3KB,Thread Group 5 5-8,3332,122,20
29,HTTP Request Medium 1MB,Thread Group 5 5-15,1048842,122,20
3,HTTP Request Little 2KB,Thread Group 5 5-19,2308,122,20
229,HTTP Request Large 13MB,Thread Group 5 5-7,13631755,122,20
35,HTTP Request Medium 2MB,Thread Group 5 5-18,2097418,122,20
17,HTTP Request Medium 1MB,Thread Group 5 5-17,1048842,122,20
26,HTTP Request Medium 2MB,Thread Group 5 5-9,2097418,122,20
54,HTTP Request Medium 3MB,Thread Group 5 5-3,3145994,122,20
122,HTTP Request Large 13MB,Thread Group 5 5-5,13631755,122,20
89,HTTP Request Medium 3MB,Thread Group 5 5-4,3145994,122,20
4,HTTP Request Little 3KB,Thread Group 5 5-12,3332,122,20
65,HTTP Request Medium 3MB,Thread Group 5 5-1,3145994,122,20
6,HTTP Request Little 2KB,Thread Group 5 5-13,2308,122,20
326,HTTP Request Large 20MB,Thread Group 5 5-6,20971788,122,20
204,HTTP Request Large 20MB,Thread Group 5 5-16,20971788,122,20
56,HTTP Request Medium 2MB,Thread Group 5 5-11,2097418,122,20
4,HTTP Request Little 2KB,Thread Group 5 5-8,2308,122,20
213,HTTP Request Large 10MB,Thread Group 5 5-7,10486027,122,20
51,HTTP Request Medium 2MB,Thread Group 5 5-20,2097418,122,20
117,HTTP Request Medium 3MB,Thread Group 5 5-14,3145994,122,20
100,HTTP Request Medium 3MB,Thread Group 5 5-19,3145994,122,20
3,HTTP Request Little 1KB,Thread Group 5 5-18,1284,122,20
12,HTTP Request Little 1KB,Thread Group 5 5-17,1284,122,20
20,HTTP Request Little 1KB,Thread Group 5 5-9,1284,122,20
4,HTTP Request Little 3KB,Thread Group 5 5-5,3332,122,20
4,HTTP Request Little 3KB,Thread Group 5 5-3,3332,122,20
465,HTTP Request Large 16MB,Thread Group 5 5-10,16777484,122,20
33,HTTP Request Medium 1MB,Thread Group 5 5-4,1048842,122,20
349,HTTP Request Large 16MB,Thread Group 5 5-2,16777484,122,20
336,HTTP Request Large 10MB,Thread Group 5 5-15,10486027,122,20
121,HTTP Request Large 16MB,Thread Group 5 5-6,16777484,122,20
45,HTTP Request Medium 2MB,Thread Group 5 5-12,2097418,122,20
48,HTTP Request Medium 2MB,Thread Group 5 5-13,2097418,122,20
12,HTTP Request Little 3KB,Thread Group 5 5-7,3332,122,20
8,HTTP Request Little 2KB,Thread Group 5 5-10,2308,122,20
170,HTTP Request Large 13MB,Thread Group 5 5-16,13631755,122,20
375,HTTP Request Large 20MB,Thread Group 5 5-1,20971788,122,20
37,HTTP Request Medium 2MB,Thread Group 5 5-14,2097418,122,20
7,HTTP Request Little 1KB,Thread Group 5 5-15,1284,122,20
3,HTTP Request Little 1KB,Thread Group 5 5-8,1284,122,20
214,HTTP Request Large 16MB,Thread Group 5 5-11,16777484,122,20
4,HTTP Request Little 3KB,Thread Group 5 5-17,3332,122,20
55,HTTP Request Medium 1MB,Thread Group 5 5-18,1048842,122,20
29,HTTP Request Little 1KB,Thread Group 5 5-5,1284,122,20
4,HTTP Request Little 1KB,Thread Group 5 5-4,1284,122,20
327,HTTP Request Large 13MB,Thread Group 5 5-20,13631755,122,20
128,HTTP Request Medium 2MB,Thread Group 5 5-9,2097418,122,20
339,HTTP Request Large 16MB,Thread Group 5 5-19,16777484,122,20
10,HTTP Request Little 2KB,Thread Group 5 5-12,2308,122,20
130,HTTP Request Medium 3MB,Thread Group 5 5-6,3145994,122,20
7,HTTP Request Little 3KB,Thread Group 5 5-16,3332,122,20
548,HTTP Request Large 20MB,Thread Group 5 5-2,20971788,122,20
310,HTTP Request Large 10MB,Thread Group 5 5-3,10486027,122,20
5,HTTP Request Little 3KB,Thread Group 5 5-10,3332,122,20
113,HTTP Request Medium 3MB,Thread Group 5 5-13,3145994,122,20
5,HTTP Request Little 3KB,Thread Group 5 5-11,3332,122,20
336,HTTP Request Large 16MB,Thread Group 5 5-1,16777484,122,20
3,HTTP Request Little 1KB,Thread Group 5 5-14,1284,122,20
7,HTTP Request Little 1KB,Thread Group 5 5-2,1284,122,20
5,HTTP Request Little 3KB,Thread Group 5 5-20,3332,122,20
44,HTTP Request Medium 2MB,Thread Group 5 5-8,2097418,122,20
61,HTTP Request Medium 3MB,Thread Group 5 5-19,3145994,122,20
274,HTTP Request Large 20MB,Thread Group 5 5-7,20971788,122,20
142,HTTP Request Large 10MB,Thread Group 5 5-15,10486027,122,20
27,HTTP Request Medium 3MB,Thread Group 5 5-18,3145994,122,20
3,HTTP Request Little 2KB,Thread Group 5 5-9,2308,122,20
5,HTTP Request Little 2KB,Thread Group 5 5-3,2308,122,20
23,HTTP Request Medium 1MB,Thread Group 5 5-5,1048842,122,20
5,HTTP Request Little 2KB,Thread Group 5 5-1,2308,122,20
201,HTTP Request Large 16MB,Thread Group 5 5-17,16777484,122,20
147,HTTP Request Large 10MB,Thread Group 5 5-4,10486027,122,20
61,HTTP Request Medium 3MB,Thread Group 5 5-12,3145994,122,20
217,HTTP Request Large 13MB,Thread Group 5 5-6,13631755,122,20
127,HTTP Request Large 10MB,Thread Group 5 5-16,10486027,122,20
22,HTTP Request Medium 2MB,Thread Group 5 5-7,2097418,122,20
23,HTTP Request Medium 1MB,Thread Group 5 5-11,1048842,122,20
209,HTTP Request Large 16MB,Thread Group 5 5-13,16777484,122,20
143,HTTP Request Large 10MB,Thread Group 5 5-10,10486027,122,20
39,HTTP Request Medium 3MB,Thread Group 5 5-14,3145994,122,20
10,HTTP Request Little 2KB,Thread Group 5 5-20,2308,122,20
32,HTTP Request Medium 1MB,Thread Group 5 5-15,1048842,122,20
4,HTTP Request Little 2KB,Thread Group 5 5-8,2308,122,20
188,HTTP Request Large 13MB,Thread Group 5 5-2,13631755,122,20
130,HTTP Request Large 13MB,Thread Group 5 5-19,13631755,122,20
6,HTTP Request Little 2KB,Thread Group 5 5-4,2308,122,20
73,HTTP Request Medium 3MB,Thread Group 5 5-5,3145994,122,20
6,HTTP Request Little 3KB,Thread Group 5 5-6,3332,122,20
258,HTTP Request Large 16MB,Thread Group 5 5-18,16777484,122,20
60,HTTP Request Medium 2MB,Thread Group 5 5-1,2097418,122,20
68,HTTP Request Medium 2MB,Thread Group 5 5-16,2097418,122,20
400,HTTP Request Large 10MB,Thread Group 5 5-9,10486027,122,20
419,HTTP Request Large 13MB,Thread Group 5 5-3,13631755,122,20
456,HTTP Request Large 10MB,Thread Group 5 5-17,10486027,122,20
43,HTTP Request Medium 1MB,Thread Group 5 5-7,1048842,122,20
64,HTTP Request Medium 1MB,Thread Group 5 5-10,1048842,122,20
95,HTTP Request Medium 3MB,Thread Group 5 5-11,3145994,122,20
6,HTTP Request Little 1KB,Thread Group 5 5-14,1284,122,20
261,HTTP Request Large 10MB,Thread Group 5 5-13,10486027,122,20
418,HTTP Request Large 20MB,Thread Group 5 5-12,20971788,122,20
124,HTTP Request Medium 3MB,Thread Group 5 5-20,3145994,122,20
7,HTTP Request Little 2KB,Thread Group 5 5-5,2308,122,20
74,HTTP Request Medium 2MB,Thread Group 5 5-18,2097418,122,20
340,HTTP Request Large 10MB,Thread Group 5 5-2,10486027,122,20
8,HTTP Request Little 2KB,Thread Group 5 5-6,2308,122,20
16,HTTP Request Little 3KB,Thread Group 5 5-1,3332,122,20
177,HTTP Request Medium 2MB,Thread Group 5 5-4,2097418,122,20
426,HTTP Request Large 16MB,Thread Group 5 5-19,16777484,122,20
43,HTTP Request Medium 1MB,Thread Group 5 5-16,1048842,122,20
5,HTTP Request Little 3KB,Thread Group 5 5-13,3332,122,20
616,HTTP Request Large 13MB,Thread Group 5 5-15,13631755,122,20
7,HTTP Request Little 2KB,Thread Group 5 5-10,2308,122,20
15,HTTP Request Little 1KB,Thread Group 5 5-7,1284,122,20
621,HTTP Request Large 13MB,Thread Group 5 5-8,13631755,122,20
5,HTTP Request Little 1KB,Thread Group 5 5-19,1284,122,20
69,HTTP Request Medium 1MB,Thread Group 5 5-8,1048842,122,20
146,HTTP Request Medium 2MB,Thread Group 5 5-2,2097418,122,20
513,HTTP Request Large 13MB,Thread Group 5 5-12,13631755,122,20
780,HTTP Request Large 20MB,Thread Group 5 5-9,20971788,122,20
798,HTTP Request Large 13MB,Thread Group 5 5-17,13631755,122,20
84,HTTP Request Medium 1MB,Thread Group 5 5-17,1048842,122,20
852,HTTP Request Large 16MB,Thread Group 5 5-3,16777484,122,20
53,HTTP Request Medium 1MB,Thread Group 5 5-3,1048842,122,20
12,HTTP Request Little 1KB,Thread Group 5 5-12,1284,122,20
229,HTTP Request Medium 3MB,Thread Group 5 5-9,3145994,122,20
11,HTTP Request Little 2KB,Thread Group 5 5-16,2308,122,20
8,HTTP Request Little 1KB,Thread Group 5 5-13,1284,122,20
757,HTTP Request Large 20MB,Thread Group 5 5-11,20971788,122,20
5,HTTP Request Little 1KB,Thread Group 5 5-11,1284,122,20
504,HTTP Request Large 10MB,Thread Group 5 5-18,10486027,122,20
20,HTTP Request Little 3KB,Thread Group 5 5-2,3332,122,20
23,HTTP Request Little 3KB,Thread Group 5 5-8,3332,122,20
238,HTTP Request Medium 2MB,Thread Group 5 5-10,2097418,122,20
83,HTTP Request Medium 1MB,Thread Group 5 5-19,1048842,122,20
919,HTTP Request Large 20MB,Thread Group 5 5-20,20971788,122,20
586,HTTP Request Large 10MB,Thread Group 5 5-6,10486027,122,20
654,HTTP Request Large 10MB,Thread Group 5 5-1,10486027,122,20
1166,HTTP Request Large 13MB,Thread Group 5 5-14,13631755,122,20
118,HTTP Request Medium 1MB,Thread Group 5 5-9,1048842,122,20
172,HTTP Request Medium 1MB,Thread Group 5 5-6,1048842,122,20
256,HTTP Request Medium 2MB,Thread Group 5 5-14,2097418,122,20
285,HTTP Request Medium 2MB,Thread Group 5 5-3,2097418,122,20
474,HTTP Request Medium 3MB,Thread Group 5 5-17,3145994,122,20
186,HTTP Request Medium 1MB,Thread Group 5 5-13,1048842,122,20
1318,HTTP Request Large 20MB,Thread Group 5 5-5,20971788,122,20
1586,HTTP Request Large 16MB,Thread Group 5 5-15,16777484,122,20
694,HTTP Request Large 16MB,Thread Group 5 5-20,16777484,122,20
330,HTTP Request Medium 3MB,Thread Group 5 5-10,3145994,122,20
7,HTTP Request Little 2KB,Thread Group 5 5-17,2308,122,20
237,HTTP Request Medium 3MB,Thread Group 5 5-15,3145994,122,20
271,HTTP Request Medium 3MB,Thread Group 5 5-2,3145994,122,20
19,HTTP Request Little 1KB,Thread Group 5 5-3,1284,122,20
255,HTTP Request Medium 2MB,Thread Group 5 5-20,2097418,122,20
1409,HTTP Request Large 16MB,Thread Group 5 5-7,16777484,122,20
14,HTTP Request Little 2KB,Thread Group 5 5-7,2308,122,20
211,HTTP Request Medium 2MB,Thread Group 5 5-6,2097418,122,20
8,HTTP Request Little 3KB,Thread Group 5 5-10,3332,122,20
